Year,Residence emissions,Territorial emissions,Carbon footprint emissions
1990,831,806,995
1991,841,815,1003
1992,821,793,957
1993,803,773,929
1994,795,795,909
1995,791,755,866
1996,819,775,877
1997,794,750,953
1998,796,748,987
1999,766,718,1005
2000,768,718,980
2001,775,721,997
2002,757,698,978
2003,767,705,971
2004,769,701,1018
2005,766,692,1004
2006,752,685,1001
2007,741,672,994
2008,722,651,934
2009,664,594,843
2010,681,609,839
2011,640,563,811
2012,653,579,841
2013,641,566,836
2014,608,525,811
2015,598,508,800
2016,576,483,740
2017,563,472,696
2018,569,463,703
2019,552,448,
2020,481,406,
2021,,425,
